Se envió DHCP_OFFFER a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:30:54 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:30:54 COT 2013
Se envió DHCP_ACK a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:30:54 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:32:24 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:32:26 COT 2013
Recibido DISCOVERY de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:32:28 COT 2013
Se envió DHCP_OFFFER a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:32:28 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:32:28 COT 2013
Se envió DHCP_ACK a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:32:28 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:33:59 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:34:02 COT 2013
Recibido DISCOVERY de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:34:03 COT 2013
Se envió DHCP_OFFFER a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:34:03 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:34:03 COT 2013
Se envió DHCP_ACK a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:34:03 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:34:45 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:34:48 COT 2013
Recibido DISCOVERY de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:34:49 COT 2013
Se envió DHCP_OFFFER a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:34:49 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:34:49 COT 2013
Se envió DHCP_ACK a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:34:49 COT 2013
Recibido DISCOVERY de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:36:00 COT 2013
Se envió DHCP_OFFFER a: [C4-2C-03-E8-D2-FF] con la IP: [192.168.0.101] || FECHA: Thu May 23 12:36:00 COT 2013
Recibido REQUEST de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:36:01 COT 2013
Se envió DHCP_ACK a: [C4-2C-03-E8-D2-FF] con la IP: [192.168.0.101] || FECHA: Thu May 23 12:36:01 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:38:16 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:38:18 COT 2013
Recibido DISCOVERY de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:38:20 COT 2013
Se envió DHCP_OFFFER a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:38:20 COT 2013
Recibido REQUEST de: [B8-C6-8E-AC-32-46] || FECHA: Thu May 23 12:38:20 COT 2013
Se envió DHCP_ACK a: [B8-C6-8E-AC-32-46] con la IP: [192.168.0.100] || FECHA: Thu May 23 12:38:20 COT 2013
Recibido DISCOVERY de: [C4-2C-03-E8-D2-FF] || FECHA: Thu May 23 12:38:26 COT 2013
